作者,粉丝,标题,点赞,硬币,收藏,分享,弹幕,播放,评论,时长,上传时间,爬取时间,频道,标签,分区,时间
琴太爽,2251,关于我的贝斯可以收听FM91.8交通之声这件事儿,13418,375,3831,3472,128,315105,815,100,2021/12/24 0:00,2021/12/25 17:08,贝斯 搞笑,音乐 音乐综合,music,1.713842593
Eve_official,620508,藍才 - Eve MV,18096,10593,8951,2010,781,71360,779,275,2021/12/24 19:00,2021/12/25 17:08,,音乐 MV,music,0.922650463
Liyuu_,369746,Liyuu - Ambition (1st ALBUM「Fo(u)r YuU」收录),19253,11743,5565,1782,586,99420,1133,236,2021/12/24 20:00,2021/12/25 17:08,日语,音乐 MV,music,0.881111111
嗑糖少女000,453703,aespa - Dreams come true录音室版有，真开麦,11964,370,4630,773,712,267880,996,121,2021/12/24 1:07,2021/12/25 17:08,aespa,音乐 音乐现场,music,1.667384259
向晚大魔王,485670,【剧情MV】Lover Boy 88❤晚晚奶味RAP甜蜜暴击,54157,58310,26407,9751,10230,520789,13454,210,2021/12/21 15:33,2021/12/25 17:09,虚拟UP主 RAP 翻唱,音乐 翻唱,music,4.066168981
娱圈叫兽,1951,专业歌手从不假唱：汪苏泷化身黄金矿工,71592,109,3117,119,198,694187,124,187,2021/12/18 18:11,2021/12/25 17:09,汪苏泷 薛之谦 周杰伦,音乐 音乐综合,music,6.956597222
宇多田光,339472,【官方MV】宇多田光 - 《One Last Kiss》（电影《新·福音战士剧场版：终》主题曲）,18206,14663,7979,1606,293,68354,874,260,2021/12/25 12:00,2021/12/25 17:09,日本,音乐 MV,music,0.214652778
俄罗斯指弹大叔Igor,182347,圣诞街头，俄罗斯大爷炫技《克罗地亚狂想曲》,17814,9589,3922,701,677,161666,460,225,2021/12/23 17:40,2021/12/25 17:09,全能音乐挑战赛 指弹吉他 木吉他 开口跪 吉他 欧美音乐 乐器 演奏,音乐 演奏,music,1.978611111
呱呱瓜能有什么坏心思,5601,【填词/混剪】总有一天，全服的欧皇都要高看我们！,16161,11180,6728,4039,664,162469,1083,257,2021/12/21 17:08,2021/12/25 17:09,年底情感回忆杀 原神 翻唱,音乐 翻唱,music,4.000381944
oskarpianist,1233797,《圣诞快乐 劳伦斯先生》 施坦威演奏   罗曼耶卓,15455,9832,5393,2893,381,103504,1031,307,2021/12/24 7:30,2021/12/25 17:09,全能音乐挑战赛 钢琴 演奏,音乐 演奏,music,1.40244213
THE FIRST TAKE,29432,中岛美嘉 - 雪之华 / THE FIRST TAKE,16517,9827,4730,2102,699,115393,649,400,2021/12/24 0:00,2021/12/25 17:09,中岛美嘉 日语,音乐 音乐现场,music,1.714884259
aespa资源站,136486,aespa新曲《Dreams Come True》MV公开！,44519,4583,17319,7177,3972,800384,4291,221,2021/12/20 18:01,2021/12/25 17:09,aespa Korea相关,音乐 MV,music,4.96375
倒悬的橘子,2508075,【倒悬的橘子&旺仔小乔】迷路麋鹿,18453,6429,4356,681,277,135371,645,187,2021/12/24 12:00,2021/12/25 17:09,原创歌曲 RAP 说唱,音乐 原创音乐,music,1.215034722
OP1_Production,259846,耳机分我一半怎么样？,260653,4648,61254,2963,2849,4516343,3912,70,2021/12/13 16:00,2021/12/25 17:09,,音乐 音乐综合,music,12.04834491
Jason-老湿,1165003,用最简单的编曲唱出最深情的故事，深夜时刻不来学唱这样一首《她说》？,15881,7225,2595,488,1439,170283,1104,771,2021/12/22 20:16,2021/12/25 17:10,全能音乐挑战赛 林俊杰,音乐 音乐综合,music,2.870555556
零点音悦Music,3950,平时混得像过气歌手，一开演唱会却一票难求，网友：这才叫实力,45625,890,6030,152,1666,1071444,834,272,2021/12/2 20:41,2021/12/25 17:10,许嵩 乐评盘点,音乐 音乐综合,music,22.85305556
MayTree五月树,1930818,憨豆先生经典主题曲！你们一定有听过！【MayTree五月树】,21592,3368,1914,151,210,180819,364,64,2021/12/24 12:47,2021/12/25 17:10,全能音乐挑战赛 阿卡贝拉 翻唱,音乐 翻唱,music,1.182118056
共青团中央,9402219,“为什么战旗美如画？英雄的鲜血染红了它…”,31568,4974,1797,1558,205,87491,744,224,2021/12/25 0:00,2021/12/25 17:10,,音乐 音乐综合,music,0.715300926
黎耀祥,182379,【黎耀祥】和你们一起重温《红蝴蝶》，义海豪情回忆依旧！,17859,7415,1970,443,490,131046,1224,217,2021/12/22 16:13,2021/12/25 17:10,年底情感回忆杀,音乐 音乐现场,music,3.039456019
东京炸市松,34083,一秒入魂！炸裂女声+丝滑RAP｜梦龙《Enemy》翻唱,11074,10047,3158,385,275,147273,448,173,2021/12/22 23:57,2021/12/25 17:10,全能音乐挑战赛 RAP 翻唱 英雄联盟,音乐 翻唱,music,2.717164352
暴风雪百里冰,6154,那些年陪你看风车的人在哪呢🎵原创单曲 mv《风车》,18154,10991,10586,10135,96,189020,404,210,2021/12/22 12:10,2021/12/25 17:10,全能音乐挑战赛 开口跪 原创歌曲,音乐 原创音乐,music,3.208541667
拉草莓的西瓜JUN,1510482,【西瓜JUN】原创《过月亮》---我会爱你很多很多,8969,8166,4263,1129,837,34688,1649,254,2021/12/25 0:00,2021/12/25 17:10,全能音乐挑战赛 国风音乐 中国风 原创歌曲,音乐 原创音乐,music,0.715578704
零距离音乐,184902,【时长6小时30分】值得你单曲循环的100首宝藏音乐合集！开车/作业/运动,4003,2040,9645,147,47,76416,143,23415,2021/12/24 19:00,2021/12/25 17:10,,音乐 音乐综合,music,0.924050926
WayV_official,283798,[威神V/WayV] [Play V] XIAOJUN - Santa Claus Is Coming To Town (Justin Bieber),10823,10119,4206,969,1380,53433,1123,228,2021/12/24 17:00,2021/12/25 17:10,肖俊 威神V 翻唱,音乐 翻唱,music,1.007361111
小轩的宝藏音乐,21797,"曾毅吐槽词越来越多,钱越来越难赚了，网友：几个“呦”就能赚钱",287672,2375,25933,1662,1209,3293411,1318,167,2021/11/26 23:23,2021/12/25 17:10,乐评盘点 综艺,音乐 音乐综合,music,28.74152778
Jay音乐区up主,14282,一万粉福利！《晴天》,18543,5375,1522,2530,918,337998,1345,266,2021/12/20 21:09,2021/12/25 17:11,周杰伦 吉他 翻唱 演奏,音乐 翻唱,music,4.8346875
肖恩Shaun-Gibson,668596,英国兄妹合唱英文版《孤勇者》，不一样，但爆好听！,132704,104540,56233,8135,1967,1341887,1956,255,2021/12/9 18:29,2021/12/25 17:11,陈奕迅 翻唱 英雄联盟,音乐 翻唱,music,15.94556713
胡侃音乐,35883,2021华语十大热歌出炉：中国乐坛真的完蛋了吗,53341,4203,5325,1367,6695,1236145,3978,553,2021/12/12 15:33,2021/12/25 17:11,全能音乐挑战赛 乐评盘点,音乐 音乐综合,music,13.0678125
下菜Music,369,徐倩倩目前已经“改邪归正”但“假唱团伙”作案越发猖狂，“正义之剑”不知何时“戳破”她们虚假的嘴脸,2597,347,2763,3,1,829960,12,137,2021/12/18 20:11,2021/12/25 17:11,乐评盘点,音乐 音乐综合,music,6.874675926
Tolein薛伯特,7238,我摊牌了 旷野打蛇一年累了,34909,11069,18499,3315,653,256275,886,152,2021/12/20 1:43,2021/12/25 17:11,aespa Korea相关,音乐 音乐综合,music,5.644143519
AlecBenjamin_CN,178459,“只要有彼此，便一切安好” Alec Benjamin 斑鸠 'If We Have Each Other' 中英字幕mv,178965,29035,100831,11077,401,1469008,1189,182,2021/12/10 12:00,2021/12/25 17:11,欧美音乐,音乐 MV,music,15.21628472
秃头阿姨ISA,27774,超强改编！神曲二合一！Next level X Dreams come true的超级翻唱让你热血沸腾！【aespa】,9237,5120,4476,754,523,93789,670,214,2021/12/22 19:50,2021/12/25 17:11,全能音乐挑战赛 aespa 翻唱 Korea相关,音乐 翻唱,music,2.889722222
无脸男葫芦,27424,（说唱）头套男亲身经历的故事,8865,6202,2920,516,182,121076,451,201,2021/12/23 16:00,2021/12/25 17:11,HIPHOP 原创歌曲 RAP 说唱,音乐 原创音乐,music,2.049664352
唐基诃徳,644,太好听了！国粹版《孤勇者》,116888,11506,25158,1819,498,791604,1614,47,2021/12/7 22:48,2021/12/25 17:11,陈奕迅 京剧 英雄联盟手游 翻唱 英雄联盟,音乐 翻唱,music,17.76630787
快乐源泉bot,362195,突然感到一股杀气,6819,1012,3919,662,313,126891,523,211,2021/12/23 20:14,2021/12/25 17:11,乐器 演奏 必剪创作,音乐 演奏,music,1.873425926
静哔哔哔哔,841480,今年你还是一个人吗？圣诞结or Lonely Christmas！？,10139,7167,2464,1253,259,97756,623,237,2021/12/23 10:45,2021/12/25 17:12,全能音乐挑战赛 陈奕迅 中文翻唱 吉他弹唱 翻唱,音乐 翻唱,music,2.268761574
绯绯Feifei,1637335,【钢琴】《圣诞结》陈奕迅 Merry Christmas,13147,4467,1982,471,384,107577,458,438,2021/12/24 19:28,2021/12/25 17:12,陈奕迅 钢琴 演奏,音乐 演奏,music,0.905416667
下饭音乐,709185,不愧是你！费玉清不仅模仿“周杰伦”，还模仿讲话方式？,31375,277,1604,64,508,526267,347,241,2021/12/18 17:18,2021/12/25 17:12,费玉清 邓紫棋 周杰伦,音乐 音乐综合,music,6.995324074
vivi蟹籽,1377,AR刘夫阳8个bars挑战，哈哈哈哈整一下子活,20803,1504,2552,383,94,271213,351,41,2021/12/20 8:01,2021/12/25 17:12,嘻哈 HIPHOP 原创歌曲 RAP 说唱,音乐 原创音乐,music,5.382673611
刘正武lzw,3664,4K！经典老歌！“这摸腿杀就连四大天王也抵挡不住”,60507,9501,28944,2700,3462,1507765,1248,605,2021/11/29 3:57,2021/12/25 17:12,我的宝藏音乐歌单 周慧敏 郭富城 黎明 张学友 刘德华 必剪创作,音乐 音乐综合,music,26.551875
不是柯桑德,1342521,外国专业说唱歌手如何评价GAI？,9924,1968,468,51,2289,175352,756,501,2021/12/24 18:00,2021/12/25 17:12,GAI 乐评盘点 HIPHOP RAP 说唱,音乐 音乐综合,music,0.966828704
熊猫你个大靓崽,5603,高糊也高甜！魏晨：结婚后的第一首歌我想送给我太太 | 我又相信爱情了！,7511,571,2038,1407,317,154883,242,819,2021/12/23 20:53,2021/12/25 17:12,魏晨 婚礼 翻唱,音乐 音乐现场,music,1.846782407
贾布加布,166454,【A-SOUL/珈乐】《红色高跟鞋》之新鞋【直播剪辑】,9242,1253,3021,587,139,89350,1280,242,2021/12/22 19:27,2021/12/25 17:12,虚拟UP主 翻唱,音乐 翻唱,music,2.906342593
可人音乐,26809,416女团又火了！《探窗》惊艳全场，老祖宗的快乐我懂了！,90374,1168,13081,198,432,828200,251,164,2021/12/12 14:07,2021/12/25 17:12,国风音乐,音乐 音乐综合,music,13.1287037
完美的心,1210,[CC官中]BLACKPINK 大电影 2021（出道五周年）,7992,1442,11966,697,1921,111041,94,5852,2021/12/19 22:31,2021/12/25 17:12,ROSE LISA YG BLACKPINK,音乐 音乐综合,music,5.77869213
芝麻Mochi2,353796,用力过猛的朗朗晴天,279423,26790,98931,7009,577,2261312,1712,21,2021/12/6 0:56,2021/12/25 17:13,翻唱,音乐 翻唱,music,19.67834491
玩音乐的EZ,661649,也太好听了吧！和爸妈一起演奏《Merry Christmas Mr. Lawrence》坂本龙一,8817,5479,2775,1137,326,76812,389,348,2021/12/24 18:12,2021/12/25 17:13,全能音乐挑战赛 演奏,音乐 演奏,music,0.95849537
怀旧音乐屋,35226,华语乐坛真的倒退了20年，网友：有这种好事！！,2654,94,632,56,892,216663,364,336,2021/12/21 23:29,2021/12/25 17:13,王力宏 乐评盘点 周杰伦 必剪创作,音乐 音乐综合,music,3.738703704
TheMix多语种乐团,1046433,九种语言版《孤勇者》：谁说站在光里的才算英雄,118485,55532,46376,7304,2067,1259212,1412,257,2021/12/4 12:00,2021/12/25 17:13,陈奕迅 翻唱 英雄联盟,音乐 翻唱,music,21.21760417
阿萨Aza,497623,二時間だけのバカンス 【Aza翻唱】,6612,4893,3665,692,400,27917,726,285,2021/12/24 11:30,2021/12/25 17:13,翻唱,音乐 翻唱,music,1.238344907
冯提莫,2899773,冯提莫：要一起过圣诞吗？《Last Christmas》,11822,3388,1904,325,649,122158,553,141,2021/12/25 10:00,2021/12/25 17:13,全能音乐挑战赛 冯提莫 翻唱,音乐 翻唱,music,0.301053241
嗷呜一口仙贝,487942,【仙贝】《十七岁》cover刘德华｜要无时无刻都记住掌声响满天,18920,6719,2834,583,603,214306,984,51,2021/12/21 22:00,2021/12/25 17:13,翻唱,音乐 翻唱,music,3.801006944
胖妞Tancy口琴,71923,解压布鲁斯,150535,43949,28555,11756,1192,2115421,3383,74,2021/12/11 16:21,2021/12/25 17:13,演奏,音乐 演奏,music,14.03652778
少女心小要丶,10,荒泷一斗cv刘照坤老师直播《歌剧魅影》,5395,415,3282,1770,150,92751,570,276,2021/12/22 22:20,2021/12/25 17:13,声优 原神 翻唱,音乐 音乐综合,music,2.786956019
拯救世界的狗子,881644,《孤勇者》我爸一开口我人傻了！前方持续高能！,244911,127296,68109,11544,3552,3574872,5824,256,2021/11/26 12:05,2021/12/25 17:13,全能音乐挑战赛 陈奕迅 开口跪 翻唱 英雄联盟,音乐 翻唱,music,29.21453704
梦音茶糯,258239,【20万粉纪念】深海少女 ~谢谢你从深海里发现我~,10293,3306,3303,146,164,37095,479,211,2021/12/24 15:30,2021/12/25 17:14,全能音乐挑战赛 日文翻唱 初音未来 VOCALOID 虚拟歌手 翻唱,音乐 翻唱,music,1.072222222
Popscene看流行,5959,恭喜牛姐！圣诞要你命B榜登顶！连续三年夺冠，刷新记录不断～,14525,49,1085,212,135,140958,166,70,2021/12/21 13:21,2021/12/25 17:14,全能音乐挑战赛 欧美音乐,音乐 音乐综合,music,4.161921296
抽风Crazy,1480773,圣诞小曲儿，铃儿响↘叮↘当↗,11353,4074,1572,834,204,72136,541,85,2021/12/24 18:30,2021/12/25 17:14,全能音乐挑战赛 演奏 搞笑,音乐 演奏,music,0.947372685
三国杀绿帽,34427,【JOJO们的葬礼】,123636,113283,66097,9458,2587,1256580,1675,252,2021/12/9 19:00,2021/12/25 17:14,JOJO的奇妙冒险 虚拟歌手,音乐 VOCALOID·UTAU,music,15.92663194
帕拉文之剑,5409,黄 金 之 风 电 音 版,102246,3873,31495,5650,447,942426,598,69,2021/12/9 20:29,2021/12/25 17:14,技术宅 演奏,音乐 音乐综合,music,15.86461806
31好饿啊,21598,【歌单】好听到每一首都停下来搜歌名的程度｜治愈 温柔 学习,34859,7625,71335,1760,403,546241,829,9242,2021/12/6 17:50,2021/12/25 17:14,,音乐 音乐综合,music,18.97524306
宝藏音乐Music,1052,米津玄师一个被誉为不会说话人，但在音乐上有着极高的造诣，八首歌带你认识这位音乐鬼才。,42961,12441,48149,49,65,2763073,94,195,2021/11/27 17:13,2021/12/25 17:14,米津玄师,音乐 音乐综合,music,28.00108796
狼匝睡死了,388,【某幻】超燃翻唱《孤勇者》,10689,581,5955,1542,705,115841,383,235,2021/12/21 10:39,2021/12/25 17:14,翻唱,音乐 翻唱,music,4.274606481
李白给__,297584,舞落音乐起，《漠河舞厅》送给你,10565,3535,1032,317,447,86043,575,261,2021/12/22 17:42,2021/12/25 17:14,全能音乐挑战赛 翻唱,音乐 翻唱,music,2.980949074
橙子音悦Music,377,《蒙面唱将》最失败的歌手，因嗓音辨识度太高，开口就被认出来,4489,128,260,71,790,168124,203,227,2021/12/22 19:47,2021/12/25 17:14,腾格尔 吴青峰 张韶涵 汪苏泷 薛之谦,音乐 音乐综合,music,2.894212963
面筋哥-程书林,1442023,当面筋老了，还记得小伙伴们,351842,125010,29127,4715,3577,3042425,4610,219,2021/12/12 12:09,2021/12/25 17:15,生活中的欧气瞬间 面筋哥 翻唱 必剪创作,音乐 翻唱,music,13.21232639
MrMiss先生小姐,128093,创意小爆发！欢迎光临卡祖笛【乐园】,7722,1647,4420,442,100,49727,202,167,2021/12/23 19:56,2021/12/25 17:15,全能音乐挑战赛 原创歌曲,音乐 原创音乐,music,1.887951389
音樂魔法师,34070,Sia一个靠才华征服世界的女子，唱歌从不露脸，她最火的五首歌，你们全都听过了吗,24131,3922,21309,64,103,2181711,134,139,2021/12/9 11:21,2021/12/25 17:15,乐评盘点,音乐 音乐综合,music,16.24570602
安慕希,258765,前方核能！致每一位背光英雄【《孤勇者》翻唱-安丽】,3068,448,2337,2330,143,182159,149,179,2021/12/23 17:05,2021/12/25 17:15,全能音乐挑战赛 陈奕迅 虚拟UP主 翻唱 英雄联盟,音乐 翻唱,music,2.006851852
绝对演绎,126298,【唐诗逸新舞】洛阳旧事，一舞盛唐。国家队带你看真正的绝对演绎！【超清4k美颜暴击】,140205,65466,61862,23707,6167,2152879,2665,263,2021/12/23 10:00,2021/12/25 17:15,古典舞 中国舞 中国风,舞蹈 中国舞,dance,2.302222222
青鸢Cyan-,763081,听说你们喜欢圣诞铃铛！！,24151,5950,17426,1776,1188,599895,631,101,2021/12/22 12:05,2021/12/25 17:15,爵士舞 韩舞 街舞 明星舞蹈,舞蹈 明星舞蹈,dance,3.215555556
牵然熊,64254,你有没有见过~跳舞把腿跳没了的~,37073,886,3937,952,135,634769,241,13,2021/12/21 18:02,2021/12/25 17:15,搞笑,舞蹈 舞蹈综合,dance,3.967534722
绫依绫依绫小依,1786,被妈妈拽去公司年会跳寄明月是什么感觉…,23903,951,2084,170,328,508513,1016,181,2021/12/21 21:43,2021/12/25 17:15,你的脚下就是舞台 寄明月 SING女团 明星舞蹈 搞笑,舞蹈 明星舞蹈,dance,3.814421296
蒋七七ChiChan,395351,心 动 时 刻,10021,2708,8841,350,151,150367,329,59,2021/12/24 10:00,2021/12/25 17:15,脸红的思春期 4K 明星舞蹈,舞蹈 明星舞蹈,dance,1.3025
小蓝蓝plus,350665,弄了两个月～终于把联名新品升降桌弄出来了～,10211,546,3898,365,75,265270,331,13,2021/12/22 18:05,2021/12/25 17:15,,舞蹈 舞蹈综合,dance,2.965486111
猛男舞团IconX,2910644,猛  男  发  发  舞,21329,1429,626,259,120,268615,225,67,2021/12/24 17:00,2021/12/25 17:16,,舞蹈 舞蹈综合,dance,1.010949074
pcyxjy,1042781,aespa Cover Dreams Come True 竖屏舞蹈挑战,10006,366,3067,850,1794,245053,1220,140,2021/12/22 17:11,2021/12/25 17:16,aespa 明星舞蹈,舞蹈 明星舞蹈,dance,3.003275463
楊今昨,2218,她说如果火了就做我女朋友！,473371,15059,10657,1464,10856,3494034,4249,90,2021/11/29 0:37,2021/12/25 17:16,搞笑新星训练营 新宝岛 宅舞 搞笑,舞蹈 宅舞,dance,26.6933912
矮乐多Aliga,853220,圣 诞 限 定 皮 肤,12660,3622,6357,345,207,132884,580,204,2021/12/24 22:03,2021/12/25 17:16,4K,舞蹈 舞蹈综合,dance,0.800856481
-町枝-,366243,【一键换装】期末获取元气！What is love?,15000,4394,3445,434,368,168721,1149,76,2021/12/24 17:17,2021/12/25 17:16,TWICE 韩舞 翻跳 明星舞蹈,舞蹈 明星舞蹈,dance,0.999166667
瑞彤_riton,25390,戏服一穿 —— 便知是梦了,49377,846,12789,1139,173,446130,849,30,2021/12/15 13:10,2021/12/25 17:16,中国舞 古风,舞蹈 中国舞,dance,10.17075231
桃核叫我桃道长,551633,点击领取你的圣诞节兔女郎,11484,2880,6604,267,211,106492,352,91,2021/12/24 16:51,2021/12/25 17:16,翻跳,舞蹈 舞蹈综合,dance,1.017384259
Nanka南,174289,【竖屏】这个辣妹不太冷🔥The Feels,7042,812,8888,186,65,91631,130,90,2021/12/23 16:44,2021/12/25 17:16,韩舞 明星舞蹈,舞蹈 明星舞蹈,dance,2.022407407
施梦露,144188,跳起舞像换了一个人一样,104817,2893,24005,3315,919,1282158,568,37,2021/12/15 19:00,2021/12/25 17:16,舞蹈教学,舞蹈 舞蹈综合,dance,9.928252315
-猫大人-,322045,你喜欢我这样的圣诞礼物吗～？❤️,7160,1886,8486,404,118,93002,206,188,2021/12/24 18:00,2021/12/25 17:16,明星舞蹈,舞蹈 明星舞蹈,dance,0.969907407
一马平川的妥妥,630443,转  型  之  作,12128,1684,4339,102,134,140019,389,101,2021/12/22 18:00,2021/12/25 17:17,邀《明月入梦来》的一百种方式 古典舞 中国舞 古风,舞蹈 中国舞,dance,2.970081019
舞千年节目官方账号,69497,这雪下得热死了 汗都快溢出屏幕了【舞千年】第七章幕后,2256,112,0,1,18,468820,52,88,,2021/12/25 17:17,,,dance,44555.72025
呆呆Riko,70548,【蒙德圣诞会】Very Merry Happy Christmas☆来签收你的礼物吧！,7847,1358,6747,860,86,120567,248,255,2021/12/24 17:30,2021/12/25 17:17,宅舞,舞蹈 宅舞,dance,0.991053241
马蛟龙Long,421017,碧云天，黄叶地，带外国人体验一回红扇舞秋风 。,21923,1423,1371,139,289,172617,276,77,2021/12/22 10:02,2021/12/25 17:17,你的脚下就是舞台 古典舞 中国舞 中国风 古风,舞蹈 中国舞,dance,3.302048611
思彤彤子,242823,她唱着 他乡遇故知,587991,82160,178549,22253,1825,5213883,4489,32,2021/12/2 14:53,2021/12/25 17:17,舞蹈悬赏企划第三期 中国舞,舞蹈 中国舞,dance,23.09980324
咲岚,91573,【咲岚】loveit！❤️ 因为最喜欢你了【HB to 阿米娅】,6448,1264,6088,360,39,78105,181,97,2021/12/23 1:29,2021/12/25 17:17,宅舞 明日方舟,舞蹈 宅舞,dance,2.658414352
王筱沫沫丶,438921,【沫沫竖版】爷青回～《GEE》心动沫沫，三秒上头，三倍的快乐，不会没有人听过吧,6558,908,5284,122,77,71649,116,200,2021/12/22 18:10,2021/12/25 17:17,韩舞翻跳 4K 韩舞 少女时代 翻跳 KPOP 明星舞蹈,舞蹈 明星舞蹈,dance,2.963564815
歪歪菜,2311,华师大女学生体育课翻跳你最最最重要,5858,217,2305,496,40,146347,511,41,2021/12/23 17:43,2021/12/25 17:17,你的脚下就是舞台 现代舞 翻跳,舞蹈 舞蹈综合,dance,1.981990741
我没有醉吧,17850,当我跳ive的eleven时 一直不知道哪里来的猫猫一直要蹭我,56429,582,8496,426,161,474535,441,65,2021/12/17 21:47,2021/12/25 17:17,KPOP 明星舞蹈,舞蹈 舞蹈综合,dance,7.812685185
骆歆同学,106169,【骆歆】当我圣诞节在办公室跳你要跳舞吗...,6589,1866,1697,165,232,134874,296,73,2021/12/24 19:22,2021/12/25 17:17,你要跳舞吗 搞笑,舞蹈 舞蹈综合,dance,0.913715278
夏老板w,180887,圣诞预热～全与你有关！超级敏感/A-soul,5089,732,5185,263,65,72776,190,153,2021/12/23 18:40,2021/12/25 17:18,翻跳 明星舞蹈,舞蹈 明星舞蹈,dance,1.943055556
慕慕有奶糖,451261,A-SOUL新曲！传说的世界 ♥ 然然你带我走吧~,6770,1132,4388,139,63,59166,743,100,2021/12/22 17:30,2021/12/25 17:18,中国舞 4K,舞蹈 中国舞,dance,2.991608796
咏声动漫_winsing,18909,《圣诞❤小鹿乱撞❤小麋鹿菲菲喜欢吗？》,5718,1067,6868,3057,821,54545,72,91,2021/12/24 20:00,2021/12/25 17:18,宅舞 翻跳,舞蹈 宅舞,dance,0.887638889
小米粥好好喝呀qwq,879991,【竖屏】凑那么近！我不会害羞的吗！！,4903,488,4868,68,32,63332,106,107,2021/12/22 16:35,2021/12/25 17:18,宅舞 翻跳,舞蹈 宅舞,dance,3.029907407
酸梨大王,468147,用JOJO立的方式打开敦煌壁画,96433,25999,19854,2364,1050,843829,1804,102,2021/12/18 18:00,2021/12/25 17:18,国风奇妙纪 舞千年 中国舞,舞蹈 中国舞,dance,6.970949074
变态辣惠子酱,463823,这是圣诞节的平安果嘛 拿来吧你 ❤,5126,723,5584,86,31,47633,110,111,2021/12/24 17:20,2021/12/25 17:18,翻跳 明星舞蹈,舞蹈 明星舞蹈,dance,0.998854167
TF家族,4024098,【时代少年团】《傻瓜》练习室版,94304,26384,21560,2465,55274,865987,9834,216,2021/12/19 17:55,2021/12/25 17:18,2021倒计时 时代少年团 明星舞蹈,舞蹈 明星舞蹈,dance,5.974641204
Myu小宇M,168348,【小宇】这要是火了～我就跳给指挥官看！能代伊吹翩翩起舞！,6841,3129,3477,1186,115,56215,79,99,2021/12/24 12:15,2021/12/25 17:18,碧蓝航线祈愿纪 碧蓝航线 宅舞,舞蹈 宅舞,dance,1.210798611
To明明,11606,“国家舞蹈双首席！屠榜屠上瘾了？！”,8588,390,1467,109,74,108778,186,151,2021/12/22 14:13,2021/12/25 17:18,国风奇妙纪 中国舞 中国风,舞蹈 中国舞,dance,3.129027778
爱豆安利所,135554,aespa《Dreams Come True》舞蹈视频公开！,8563,16,1120,152,252,103297,189,90,2021/12/22 18:01,2021/12/25 17:18,aespa 韩舞 KPOP 明星舞蹈 Korea相关,舞蹈 明星舞蹈,dance,2.970405093
小深深儿,554619,跳 舞 就 跳 经 典 的-NO.9 战歌起,9977,1874,4861,148,145,118648,306,108,2021/12/22 11:45,2021/12/25 17:19,韩舞 翻跳 明星舞蹈,舞蹈 明星舞蹈,dance,3.231967593
廖蹶子,54527,十年前跳的，献丑了各位。,111964,52717,34918,7609,1755,1503871,2302,311,2021/12/7 12:02,2021/12/25 17:19,街舞,舞蹈 街舞,dance,18.21969907
楚鸢鸢吖,180855,商场超羞耻挑战♥恋爱循环♥文艺复兴 【楚鸢】,3812,694,4644,87,154,40128,168,94,2021/12/23 17:20,2021/12/25 17:19,恋爱循环 宅舞,舞蹈 宅舞,dance,1.999293981
啊嘞嘞nai,21,傩舞片段截取,11022,902,1890,242,195,100397,2079,335,2021/12/20 13:04,2021/12/25 17:19,中国舞,舞蹈 中国舞,dance,5.177152778
嘉嘉的袜子,3706,姐就是女王！,55087,1365,15439,1976,307,948589,2247,98,2021/11/27 9:41,2021/12/25 17:19,大学宿舍的日常 韩舞 舞蹈教学 翻跳 街舞 明星舞蹈 必剪创作,舞蹈 街舞,dance,28.31796296
十元酱少女,391799,一句一步是相思♥ 湖边少女独舞【探窗】,6545,1111,3043,116,77,130746,249,66,2021/12/21 19:00,2021/12/25 17:19,中国舞 翻跳 古风,舞蹈 中国舞,dance,3.930219907
广汽丰田,43927,【广汽丰田】猛男必看 ⭐️ 圣诞魔性打车舞,3889,519,371,192,187,119767,213,91,2021/12/24 12:00,2021/12/25 17:19,4K 翻跳 鬼畜,舞蹈 舞蹈综合,dance,1.221886574
叶叶子Vicky,185814,我也不想啊，可是她叫我宝贝诶！圣诞前夜，特别礼物-Door,2996,308,4291,75,131,44415,72,159,2021/12/24 18:00,2021/12/25 17:19,韩舞 翻跳 明星舞蹈,舞蹈 明星舞蹈,dance,0.971875
L根根根Y,2022,获得2021年<周偶>直拍女子爱豆一位的ITZY申有娜,6711,51,1765,169,91,71894,280,182,2021/12/23 0:50,2021/12/25 17:19,ITZY 明星舞蹈,舞蹈 明星舞蹈,dance,2.687002315
#NAME?,715007,大 闹 鬼 屋，化 敌 为 友,8304,1788,669,145,272,67515,456,127,2021/12/23 11:00,2021/12/25 17:20,搞笑,舞蹈 舞蹈综合,dance,2.26380787
王学习-吉吉,152081,圣诞兔兔 ！蹦蹦跳跳真可爱！,3661,845,3958,78,221,33131,184,68,2021/12/22 22:27,2021/12/25 17:20,翻跳,舞蹈 舞蹈综合,dance,2.786840278
韩小沐,667645,❀浮华中等待 谁人入梦来❀,15215,4582,7822,241,369,171033,558,102,2021/12/21 18:00,2021/12/25 17:20,邀《明月入梦来》的一百种方式 中国风 汉服 翻跳 古风,舞蹈 舞蹈综合,dance,3.972280093
宵鱼鱼,353097,【宵鱼鱼】❆冬日里的圣诞🎄  带我一起看雪花❆,4036,668,3752,55,40,33532,100,180,2021/12/24 18:00,2021/12/25 17:20,翻跳 明星舞蹈,舞蹈 明星舞蹈,dance,0.972222222
